country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
AT,A,2014,4210.8,435834,33133.0,0.02261171076101321,0.020255694438154004,142.03171,3.3730338652987557
AT,A,2015,3912.2,416177,33443.8,0.02160133462012472,-0.04468375487230136,142.44404,3.641021420172793
AT,A,2016,4087.6,413752,33774.7,0.022584855921514546,0.04553058034078772,155.61874,3.8070931598003717
AT,A,2017,4407.2,406137,34363.1,0.0245155519569584,0.08548631180793387,161.64020000000002,3.6676393174804875
AT,A,2018,4250.5,393352,35309.5,0.023940448937419458,-0.02345870166613595,140.2368,3.2993012586754493
AT,A,2019,4133.7,380631,36186.1,0.023609260455078843,-0.01383384594024717,134.17961,3.245992936110506
AT,A,2020,4074.7,403537,37312.7,0.022153435455631657,-0.06166330377934426,133.29431,3.271266841730679
AT,A,2021,4936.7,405195,40400.7,0.02607314804064241,0.17693475094917255,253.20217000000002,5.128976239188122
AT,A,2022,6050.9,395438,43438.6,0.031716001264372407,0.2164239321977539,302.7768,5.003830835082384
AT,A,2023,5933.6,361630,45097.6,0.03261447947478038,0.028328861602653133,266.85037,4.497276021302413
AT,C,2014,56735.9,1038599,100200.6,0.11818181326896099,0.021704472425838395,90699.31551,159.86230148812302
AT,C,2015,58985.2,1037511,102886.0,0.12188502963246473,0.03133490899378799,92951.55234000001,157.5845336457281
AT,C,2016,62839.8,1041908,106593.8,0.12797866415575332,0.04999493819432543,93587.02562,148.92954086422935
AT,C,2017,64066.2,1050800,111075.4,0.12798427713802812,4.385873467138701e-05,99489.20709000001,155.291256684492
AT,C,2018,66380.5,1071936,116554.7,0.12878715648957573,0.006273265509650905,110910.72679,167.0832952297738
AT,C,2019,67674.9,1083034,122239.9,0.12836219546731845,-0.0032997158555300166,114779.59964,169.60438750555969
AT,C,2020,63122.6,1023216,126399.0,0.1230074377832884,-0.04171600263251485,104744.39712000001,165.93802714083387
AT,C,2021,68975.9,1073982,135956.6,0.1270302891658697,0.03270413118976312,123691.56676999999,179.32577432117597
AT,C,2022,74829.2,1090035,147010.8,0.13297216992711924,0.04677530689937215,141170.25996999998,188.65664736493238
AT,C,2023,76173.9,1100168,154854.8,0.1322371601425576,-0.005527545989243432,145608.24944999997,191.1524150004135
AT,F,2014,18500.9,474485,30045.1,0.09693006039111376,0.02503903351070602,382.55628,2.0677711895096995
AT,F,2015,18846.3,472244,29951.4,0.09915552706615591,0.022959509836910863,371.92609999999996,1.9734701241092414
AT,F,2016,19653.4,474990,30044.2,0.10289590425561944,0.03772232673391951,350.79228,1.7848936061953657
AT,F,2017,20873.1,485052,30250.3,0.10751473693023919,0.04488840161358998,390.05748,1.8687089124279577
AT,F,2018,22084.0,494867,30677.7,0.11171691251783124,0.03908464744064455,499.38228999999995,2.26128550081507
AT,F,2019,22949.8,514344,31219.0,0.11248139010255863,0.006842988832200136,648.96227,2.8277469520431553
AT,F,2020,23778.8,496448,31808.8,0.1186079793231656,0.05446758094846493,432.36968,1.8182989890154255
AT,F,2021,24531.2,538565,33913.8,0.11343968675097392,-0.04357457737400505,444.15749,1.8105819935429166
AT,F,2022,26422.3,540757,36422.5,0.11901649618373955,0.049161008748269897,525.8111700000001,1.9900280066459017
AT,F,2023,28395.0,531566,37679.7,0.12793904319677915,0.07496899420786862,567.7194000000001,1.9993639725303751
AT,J,2014,10467.4,203407,16339.8,0.11826663718776269,-0.0010499386585317572,276.15725,2.638260217436995
AT,J,2015,10827.7,200827,17115.7,0.12151367824220224,0.0274552581492995,338.4427,3.125711831690941
AT,J,2016,11630.0,205130,18343.9,0.12576735042723525,0.03500570673660741,340.51845000000003,2.9279316423043853
AT,J,2017,11869.0,211284,18703.8,0.12503069649943227,-0.005857274764082598,345.60828999999995,2.911856853989384
AT,J,2018,12896.5,220822,19475.6,0.13014620718385886,0.04091403813342609,425.82117,3.3018351490714535
AT,J,2019,13689.9,233308,20284.3,0.13137859554855438,0.009469260698120152,617.01013,4.507046289600362
AT,J,2020,13703.2,215077,21002.2,0.13728928895386278,0.04498977463283915,460.79282,3.36266580068889
AT,J,2021,15276.3,234599,21885.8,0.14244462067291214,0.03755086619162151,533.72726,3.4938254682089247
AT,J,2022,15865.8,238612,23528.1,0.14281850552576045,0.002624773410761838,463.62696,2.922178270241652
AT,J,2023,16885.9,250973,25118.7,0.14380535520743465,0.006909816609838471,595.0010100000001,3.523655890417449
AT,K,2014,12969.1,212054,22650.1,0.12794330463250864,0.019688057907634615,201.11506,1.5507248768226014
