country,sector,year,gva,hours,capital
AT,A,2000,3549.1,651097,22731.7
AT,A,2001,3747.5,632511,22837.8
AT,A,2002,3583.9,621815,22956.4
AT,A,2003,3428.0,618583,23308.9
AT,A,2004,3591.7,602496,23834.6
AT,A,2005,3236.2,588611,24523.7
AT,A,2006,3530.3,568592,25254.2
AT,A,2007,4125.8,550690,26378.9
AT,A,2008,4042.2,527584,27573.3
AT,A,2009,3368.2,504012,28613.9
AT,A,2010,3801.7,487378,29791.5
AT,A,2011,4503.3,501351,31071.6
AT,A,2012,4488.2,452804,32118.0
AT,A,2013,4104.3,434137,32838.1
AT,A,2014,4210.8,435834,33133.0
AT,A,2015,3912.2,416177,33443.8
AT,A,2016,4087.6,413752,33774.7
AT,A,2017,4407.2,406137,34363.1
AT,A,2018,4250.5,393352,35309.5
AT,A,2019,4133.7,380631,36186.1
AT,A,2020,4074.7,403537,37312.7
AT,A,2021,4936.7,405195,40400.7
AT,A,2022,6050.9,395438,43438.6
AT,A,2023,5933.6,361630,45097.6
DE,A,2000,21215.0,1575300,125695.0
DE,A,2001,23785.0,1489480,124405.0
DE,A,2002,20040.0,1436177,124345.0
DE,A,2003,18584.0,1391418,123332.0
DE,A,2004,21758.0,1357841,123345.0
DE,A,2005,16886.0,1308210,125433.0
DE,A,2006,17386.0,1277340,128780.0
DE,A,2007,20899.0,1280197,132987.0
DE,A,2008,21673.0,1265949,138410.0
DE,A,2009,16720.0,1242690,139911.0
DE,A,2010,20294.0,1225437,140545.0
DE,A,2011,25399.0,1226214,143662.0
DE,A,2012,25513.0,1199660,147292.0
DE,A,2013,26576.0,1169964,149783.0
DE,A,2014,27326.0,1144881,152149.0
DE,A,2015,21872.0,1127356,153216.0
DE,A,2016,23342.0,1103561,154092.0
DE,A,2017,28665.0,1060775,155897.0
DE,A,2018,25496.0,1047303,160097.0
DE,A,2019,29470.0,1016062,163345.0
DE,A,2020,25144.0,971364,164980.0
DE,A,2021,27761.0,980111,173291.0
DE,A,2022,39680.0,969462,194644.0
DE,A,2023,39204.0,951254,205988.0
ES,A,2000,24247.0,1992409,33261.0
ES,A,2001,25755.0,2007718,35499.0
ES,A,2002,26107.0,1982136,37842.0
ES,A,2003,27458.0,1942432,40791.0
ES,A,2004,26815.0,1888725,44385.0
ES,A,2005,25601.0,1831585,47275.0
ES,A,2006,24127.0,1732928,49084.0
ES,A,2007,26881.0,1689664,51572.0
ES,A,2008,26183.0,1626880,53203.0
ES,A,2009,24138.0,1555916,54583.0
ES,A,2010,26039.0,1551831,56182.0
ES,A,2011,25248.0,1532619,57418.0
ES,A,2012,24840.0,1494593,57756.0
ES,A,2013,26764.0,1468367,57658.0
ES,A,2014,26254.0,1468763,57944.0
ES,A,2015,29605.0,1467630,58496.0
ES,A,2016,31614.0,1527666,60492.0
ES,A,2017,32801.0,1562339,63024.0
ES,A,2018,32747.0,1542424,65055.0
ES,A,2019,31591.0,1506694,66317.0
ES,A,2020,31445.0,1461849,68985.0
ES,A,2021,34201.0,1515257,76298.0
ES,A,2022,32603.0,1478600,79418.0
ES,A,2023,39035.0,1447339,81106.0
NL,A,2000,10449.0,473226,32641.0
NL,A,2001,10796.0,455421,34204.0
NL,A,2002,10498.0,452433,36021.0
NL,A,2003,10647.0,426488,37022.0
NL,A,2004,9965.0,424273,37526.0
NL,A,2005,10350.0,418057,38436.0
NL,A,2006,11513.0,407102,39453.0
NL,A,2007,11408.0,401379,41160.0
NL,A,2008,10762.0,399653,43482.0
NL,A,2009,9868.0,396055,45306.0
NL,A,2010,11496.0,389735,46809.0
NL,A,2011,10486.0,386319,49064.0
NL,A,2012,11170.0,380057,50431.0
NL,A,2013,12278.0,378874,51600.0
NL,A,2014,12222.0,382764,53014.0
NL,A,2015,12627.0,378509,53284.0
NL,A,2016,13424.0,389738,53095.0
NL,A,2017,14776.0,397857,53870.0
NL,A,2018,13855.0,401167,54966.0
NL,A,2019,14594.0,409046,57365.0
NL,A,2020,14185.0,400406,59032.0
NL,A,2021,14752.0,397606,60520.0
NL,A,2022,16318.0,386547,64783.0
NL,A,2023,18393.0,384798,66926.0
PT,A,2000,3993.4,1106379,7558.7
PT,A,2001,4020.0,1105190,7859.0
PT,A,2002,3881.6,1053778,8152.2
PT,A,2003,3872.5,1047143,8378.9
PT,A,2004,3961.7,996113,8730.2
PT,A,2005,3652.3,969704,9015.9
PT,A,2006,3746.1,923523,9290.4
PT,A,2007,3506.4,925962,9575.0
PT,A,2008,3517.2,898947,9921.8
PT,A,2009,3421.7,872224,9742.7
PT,A,2010,3489.9,797923,9743.0
PT,A,2011,3241.5,723890,10075.8
PT,A,2012,3236.0,685832,10007.7
PT,A,2013,3485.0,643402,9988.0
PT,A,2014,3423.2,601989,10065.4
PT,A,2015,3543.7,581026,10104.3
PT,A,2016,3582.9,548468,10147.8
PT,A,2017,3839.2,530242,10397.9
PT,A,2018,3932.2,526561,10633.6
PT,A,2019,4289.6,494151,10787.1
PT,A,2020,4303.9,476010,10967.3
PT,A,2021,4680.7,456942,11469.7
PT,A,2022,4648.4,425051,12625.9
