STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,stk_flow,Stock or flow,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),partner,Geopolitical entity (partner),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2014,,142031.71,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2015,,142444.04,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2016,,155618.74,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2017,,161640.2,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2018,,140236.8,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2019,,134179.61,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2020,,133294.31,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2021,,253202.17,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2022,,302776.8,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,AT,Austria,2023,,266850.37,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2013,,1520468.12,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2014,,1474112.19,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2015,,1412275.23,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2016,,1505356.78,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2017,,1569261.33,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2018,,1658862.05,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2019,,1725129.06,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2020,,1771842.02,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2021,,1939706.14,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,DE,Germany,2022,,2272737.24,,,,,
