STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2000,,3549.1,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2001,,3747.5,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2002,,3583.9,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2003,,3428.0,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2004,,3591.7,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2005,,3236.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2006,,3530.3,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2007,,4125.8,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2008,,4042.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2009,,3368.2,,,,,
dataflow,ESTAT:NAMA_10_A10(1.0),Gross value added and income by main industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",A,"Agriculture, forestry and fishing",B1G,"Value added, gross",AT,Austria,2010,,3801.7,,,,,
