STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),asset10,Assets (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2000,,22731.7,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2001,,22837.8,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2002,,22956.4,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2003,,23308.9,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2004,,23834.6,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2005,,24523.7,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2006,,25254.2,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2007,,26378.9,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2008,,27573.3,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),AT,Austria,2009,,28613.9,,,,,
